id,Locatie,LAT,LONG,Fatalitate,Numar de inmatriculare,Sex
Bankaw,9 Clove Junction,14.7035936,121.0493442,true,5NPEB4AC5EH641767,Female
Kafr ash Shaykh,282 Fulton Terrace,31.3085444,30.8039474,true,KMHCT4AE3DU645158,Female
Nobres,23864 Fieldstone Plaza,-14.3501113,-55.7578403,true,1N4AA5APXBC286196,Male
Kashira,9 Havey Junction,54.8095591,38.2516419,true,2HNYB1H66CH818791,Male
Kanshan,655 Victoria Point,29.48018,120.882428,true,1D7RE3GK6BS456129,Male
Zhichu,88486 4th Point,37.533773,121.315291,false,1N4AL2AP8CN038009,Female
Fenglai,8029 Laurel Trail,37.810661,120.758848,true,JH4NA21693T008391,Male
Sidaharja,05157 Straubel Lane,-7.4178714,108.6917922,false,KNDPB3A21C7786252,Male
Nampera,4794 Jay Pass,-8.2600716,124.423984,true,3N1AB6AP6BL661845,Female
Junik,04 Kropf Alley,42.4762027,20.2775059,true,WBA3B1C58FP723127,Female
Biharamulo,8825 Reindahl Park,-2.6343036,31.3141291,true,5UXFE83549L458197,Female
Albrechtice,4 Homewood Hill,49.7830508,18.5257165,true,1G4HD5EM1AU089406,Male
Estelí,8156 Dahle Point,13.0851139,-86.3630197,false,WAUGFAFRXEA400378,Male
Altan-Ovoo,8 Fairfield Drive,47.4389969,101.7525358,true,WBAKG7C58DJ871052,Female
Nishio,84346 Fordem Road,37.4056028,139.7874841,false,3CZRE3H31AG216763,Female
Grijó,8568 Troy Park,41.0390875,-8.5746201,false,JH4NA21665S466995,Female
Baisha,5 Westport Road,26.641315,100.222545,true,2HKRM3H54DH471624,Male
Tawau,65 Eastwood Center,4.243113,117.893335,false,WAUGFAFR9DA085975,Female
Shangdundu,669 Ilene Trail,27.937146,116.298866,true,3D73Y3CL2AG578889,Female
Tuba,10 Judy Trail,36.1228302,-111.2236913,false,SCFHDDAJ9BA039268,Male
Kulevcha,8 Dorton Pass,46.0313077,29.9343459,true,3D73Y3CL6BG201046,Female
Dambořice,634 Weeping Birch Circle,49.0410029,16.9171327,true,1C3ADEAZ7DV718905,Female
Barão de São Miguel,721 Maywood Parkway,37.1073284,-8.7960152,true,1G6KF54915U954112,Male
Dębno,16116 Dottie Place,52.746302,14.7015401,true,WVGAV7AX4BW808941,Female
Carrasqueira,01328 Mifflin Park,40.6954986,-8.4593865,false,5N1AZ2MGXFN615790,Male
Västerås,59 Trailsway Trail,59.6194065,16.5805191,false,WAUJGAFDXFN135284,Female
Frampol,62 Sherman Crossing,50.6715465,22.6706518,false,4T1BF1FK8FU963974,Female
Birqīn,9 Iowa Road,32.45461,35.26076,false,JH4CU2E68AC937350,Male
Clones,9756 Dixon Alley,54.1794814,-7.2314132,true,3D73M4HL2BG675408,Male
Veternik,8 Lawn Street,45.2494149,19.7563286,false,WAUVT64BX3N358366,Female
Taoyuan,29946 Victoria Circle,24.9936281,121.3009798,false,4T1BK3DB5CU369204,Female
Hacıhüseynli,9 1st Alley,41.4488926,48.6388661,false,WUATNAFG0CN147261,Male
Coronel Belisle,0185 Hanson Court,-38.9396947,-68.2376186,true,1FTEW1CM2EK702435,Male
Bandar-e ‘Asalūyeh,504 Weeping Birch Parkway,27.472075,52.6146057,false,1FTEX1CM3DF390971,Female
Badung,10 Reinke Street,-8.5819296,115.1770586,false,1FTSW2A54AE374674,Male
Vale de Mendiz,80676 Graceland Circle,41.2218624,-7.5345759,true,WBAUL73538V486114,Female
Lagos,3252 Shoshone Circle,6.5243793,3.3792057,true,1FTMF1CW7AF146669,Female
Faya-Largeau,05 Morrow Center,17.9236623,19.1107114,true,WAUGL98E15A841897,Male
Yumendong,74261 Emmet Pass,39.8,97.9,true,1FM5K7B86DG986118,Female
La‘l,4 Drewry Drive,34.4822519,66.2724183,false,19XFB4F28DE363275,Male
Taoyuan,84 Stang Alley,24.9936281,121.3009798,true,1C4RDJAG8CC801386,Male
Kadyy,599 Dawn Place,57.7856103,43.200317,false,WAUDT48H74K520066,Male
Nangka,1 Golf Plaza,3.6196125,98.5089455,true,5N1AN0NU2CC763122,Male
Paris 04,2 Eliot Place,43.4945737,5.8978018,true,1FTEX1CM0BF005007,Male
Ghauspur,6 Mayfield Circle,28.1385576,69.0827863,true,1G6AF5SX4D0641980,Female
Bečmen,9775 Thackeray Trail,44.7811062,20.1963089,true,5FRYD4H44GB217907,Male
Zhizhong,5567 Kedzie Center,40.087301,116.31098,false,2HNYD18924H463642,Male
Concepción,6 Gateway Point,-34.6310923,-58.8801499,true,1G6DH5EG6A0449748,Male
Stradbally,6 Jenifer Park,52.7107501,-8.5054897,false,JH4CU2E63AC599789,Male
Driyorejo,81484 Crest Line Trail,-7.3445521,112.6079459,false,JTHKD5BH4C2679081,Female
Bohorodchany,901 Novick Terrace,48.8078325,24.54095,false,WP0AA2A81CU965478,Female
Jiazhi,00367 Bunting Crossing,22.879493,116.061522,false,WAULFAFR3CA924077,Female
Richmond,69878 Oxford Point,49.1571976,-123.1152602,false,WBAVB73528K845042,Male
Jiuchenggong,4 Morningstar Hill,34.676976,107.79016,false,5UXZV8C50DL500919,Female
Shalazhi,31531 Hovde Hill,43.09476,45.35898,true,3FADP4AJ9CM111505,Female
Balad,220 Meadow Valley Junction,34.0076216,44.148291,true,WBANB33585B169975,Male
Cocieri,7 Paget Court,47.3005,29.1224979,false,SCBZU25E91C163468,Female
Dengnan,79123 Caliangt Avenue,40.2214779,116.2027916,false,WAUGL98E85A020568,Female
Trancas,145 Bunker Hill Lane,-26.2304116,-65.2825779,true,1FTMF1EW3AF792871,Male
Kameda-honchō,7 Montana Junction,41.8905758,140.6934778,false,5FRYD4H65GB078775,Male
Liuche,318 Golden Leaf Terrace,24.726833,115.64556,false,WBAEV53483K360349,Male
Pulap,3727 David Way,7.6447222,149.4208333,false,1FTEX1E8XAK678876,Female
Alexandria,20910 Gateway Point,31.2000924,29.9187387,false,5N1AN0NW3EN236330,Female
Barra Velha,936 Delaware Pass,-26.6329034,-48.6844637,false,WBAUC9C54CV159466,Male
Miraflores,413 Holmberg Avenue,38.7087189,-9.2280364,true,4T1BF3EK0BU066980,Female
Calçada,9326 Stoughton Road,42.0328151,-8.6450785,false,SCBFU7ZAXEC873203,Female
Neos Voutzás,6445 Cherokee Terrace,38.0435902,23.9783441,true,WAUGU54D81N771370,Female
Pueblo Nuevo,6762 Ramsey Circle,8.4009121,-75.2712393,true,1J4AA2D1XAL890243,Female
Bergem,57 Corscot Court,49.5206119,6.0453754,true,WBSPM9C59AE492121,Male
Kanash,3025 Crownhardt Drive,55.496663,47.465002,true,WAUAH74F46N015081,Male
Guanagazapa,28515 Forest Run Avenue,14.22528,-90.64333,true,1ZVBP8JSXA5082923,Female
Flora,5 Vidon Park,18.1145292,121.4023587,true,SCFEBBBK2BG290134,Male
Dawung,086 Jenifer Drive,-7.646098,111.0266668,true,SALGS2EF0EA374023,Male
Dapaong,1 Hoard Drive,10.8733058,0.2010233,false,1GKLRKED9AJ378862,Male
Doumé,2 Artisan Hill,4.2399992,13.4482868,true,1D4PT5GK0AW484392,Female
Nunmanu,2 Bobwhite Street,-10.0431,124.3382,false,JN1AZ4EH5AM382362,Female
La Soledad,50886 Heffernan Road,19.7267712,-101.1850967,false,5LMJJ3H51DE324899,Male
Phoenix,3882 Declaration Drive,33.6289952,-112.1370601,false,1C3CCBCGXEN467739,Male
Yudong,87880 Blackbird Road,28.705864,109.276796,false,KMHTC6AD9FU933739,Female
Huatanshan,14093 Lakewood Gardens Center,28.706919,117.821005,false,3N1CN7AP8DL939833,Female
Vitória da Conquista,336 Scott Plaza,-14.8503277,-40.844989,false,JN8AZ1FY4DW115821,Male
Mayong,66 Gulseth Drive,23.0604451,113.5883876,false,WAUKD78P17A131981,Female
Cowansville,90 Ryan Center,45.2114093,-72.7399622,false,JTJYWRBZ2F2936827,Female
Čelopek,36 Bluejay Parkway,41.93167,21.01333,true,1G6DM5E3XD0340805,Female
Erie,761 Oakridge Center,42.1340917,-80.0872429,false,JH4NA12682T223817,Male
Hinlayagan Ilaud,163 Riverside Drive,10.0382093,124.3470114,true,2HNYD18983H771378,Male
Karakabak,20441 Park Meadow Avenue,46.76786,83.14697,true,1GYS3MKJ6FR666291,Male
Ufa,96106 Blaine Road,55.354135,40.297852,true,SALGS2EF7EA519509,Female
Ulyanovsk,56155 Forest Run Parkway,54.2866841,48.2335118,true,2G4WF521X31537510,Male
Casal de Cambra,765 Spaight Point,38.8053078,-9.2279436,false,1GTN1TEX6DZ592516,Female
Baran,49928 Dakota Plaza,-7.7519029,110.7077766,true,1C3CDFEB6FD217637,Female
München,445 Weeping Birch Park,48.1251024,11.5584376,false,19UYA42421A735003,Male
Sabang,86191 Drewry Center,14.0767924,121.3439494,true,WAUSF98K89N112723,Female
Morrito,8 Randy Alley,11.6209009,-85.0791866,false,1D4PT6GX4BW406135,Male
Kamenka,67900 Nevada Junction,55.9840531,37.1619979,false,3N1CN7AP6EK992778,Male
Ambato Boeny,05 Dayton Alley,-16.4708895,46.7164256,true,1FTEW1C83AF358703,Female
Courbevoie,50 8th Crossing,48.8981844,2.2478659,true,SCBLC37F43C879055,Male
Adolfo Lopez Mateos,1785 Manley Center,19.3852368,-98.9545512,false,1G6DH5E51C0245232,Female
Brailiv,4694 Lighthouse Bay Court,49.1055022,28.1576316,false,2HNYD28818H532288,Female
Juren,11 Ilene Trail,26.766695,105.431403,false,1NXBU4EEXAZ962692,Female
Tuanshan,0 Talisman Hill,33.195993,105.606648,true,3GTU1YEJ4BG544739,Male
Luhanka,6 Harper Trail,61.7968844,25.7035513,true,WBAWV1C56AP509105,Male
Hengpi,5277 Ryan Hill,21.955472,111.244529,false,TRURD38JX81769076,Male
Cotuí,73 Forster Junction,18.9337202,-70.4047314,false,WUAAU34208N003729,Female
Krasnystaw,2 Twin Pines Parkway,50.98411,23.17194,true,4T1BF1FK9CU546181,Female
Gharyan,9544 John Wall Street,32.1717952,13.0184123,true,WAULC58E82A093197,Female
Bago,1657 Butterfield Junction,-8.0670006,111.907307,true,1G6DM8E32D0999396,Female
Caotan,37532 Bobwhite Park,36.1296961,-79.8567326,true,1N6BF0KX7FN787880,Female
Jinotepe,425 Stuart Drive,11.8495208,-86.1980589,false,JTMHY7AJ6B4314307,Female
Nanyulinxi,69572 Lawn Alley,39.20892,112.68142,true,WA1YD64B93N479185,Male
Huitang,66 Sage Park,27.983279,112.339509,false,WBAXH5C54DD491177,Female
Jiangkou,7 Mariners Cove Junction,27.69965,108.839557,true,JN1CV6FEXFM620041,Male
Lumby,28 Sherman Park,50.24979,-118.96904,true,KMHTC6ADXCU721377,Female
Stockholm,238 Hanover Parkway,59.3473789,18.0975334,false,SCFAD01A85G753615,Male
Düsseldorf,01 Acker Drive,51.1974375,6.7898817,true,1G6AY5S36E0632531,Female
Cigembong,3 Mccormick Road,-6.8747015,107.9520129,true,1C6RD6PT0CS165691,Male
Iza,0715 Warner Junction,48.2162668,23.3302946,false,WAUHF98P58A085136,Male
Tiraspol,555 Hanover Terrace,46.8376386,29.6319884,true,5J6TF1H39DL644014,Female
Nam Kliang,45 Caliangt Terrace,14.9128369,104.5422225,false,1GYFK16269R563415,Female
Sutton,54 La Follette Parkway,51.3614279,-0.193961,true,1GD220CG7CZ215172,Male
Chlumec nad Cidlinou,03 Londonderry Trail,50.1544063,15.4602634,false,1GYFK46888R588921,Female
Longping,49 Marquette Street,27.5566857,107.0336505,true,WAUAH68D71A362424,Male
La Poma,36 Bowman Drive,-24.7995226,-65.434694,false,WAUJF98K99N079808,Female
Dongke,777 Mitchell Plaza,36.334307,99.670448,false,3D73M3HL1BG831884,Male
Covas,3172 Redwing Pass,41.1575552,-8.2259125,false,WP0AB2A80CU270180,Female
Terpinnya,66878 Melvin Plaza,46.9792838,35.4217024,true,1N6AD0CU6FN934664,Female
Milaor,877 Lillian Pass,13.631,123.193,true,WBAPN7C55AA381112,Female
Nürnberg,624 Stoughton Drive,49.4025357,11.0502709,true,WBAUN7C59DV692140,Female
Cruzeiro,71 Badeau Road,40.9175193,-8.4280201,false,4T1BK1EB0FU419837,Female
Kwangju,6171 Ridgeview Center,35.1595454,126.8526012,false,3D73Y4EL4BG904888,Male
Erdao,83747 Coleman Circle,43.865595,125.374217,false,1FMJK1F50DE925743,Female
Kraton,21500 Annamark Plaza,-7.8090256,110.363649,true,5LMCJ1A9XFU368094,Female
Shataping,777 Russell Junction,29.586414,110.046252,false,1GD02ZCG1CF834394,Male
Maisí,61938 Pine View Road,20.2258318,-74.1533563,false,1C4RDHAG0DC326357,Male
Nakhon Nayok,89396 Butterfield Hill,14.0786882,101.0259275,true,5LMJJ3H53AE363747,Male
Montpellier,0 Bayside Plaza,47.3752386,-0.8453268,true,KL4CJBSB9FB279556,Male
Canela,8 Fordem Lane,-29.357495,-50.7832348,false,WDDHF2EB5DA392292,Male
Roissy Charles-de-Gaulle,55 Weeping Birch Plaza,49.0096906,2.5479245,true,WAUMGAFL7BA228351,Female
Madīnat Ḩamad,003 Quincy Way,26.1256441,50.4980362,false,WVGAV7AX1CW951623,Male
Canchayllo,3 Fremont Street,-11.82198,-75.730667,false,WBXPA73424W769334,Male
Sukaraharja,96028 Del Sol Alley,-7.1701665,108.3296983,false,WAUGL98EX5A833247,Male
Loma Bonita,1695 Farmco Trail,18.1096868,-95.8803869,true,2G4GY5GV2B9274214,Female
København,50289 Dapin Parkway,55.6854725,12.5666087,true,2HNYD18853H669284,Female
Roioen,4874 Sunfield Point,-10.8439,122.9526,false,TRUSX28NX21826096,Male
Zselickislak,5999 Clove Center,46.283972,17.825072,false,WAUSF98K29A534588,Male
Utan,25 Melby Center,-8.412375,117.144997,true,WAUMFAFL1CA931738,Male
Belanting,4 Burning Wood Hill,-8.321199,116.5963713,false,5N1BA0NC2FN322459,Male
Sattahip,0638 Dennis Terrace,12.6836578,100.901604,false,5UXFB33552L426697,Male
Oakland,79 Porter Court,37.8336281,-122.2029832,true,1FTSX2B51AE437497,Female
Palmital,40016 Haas Road,-22.787936,-50.2199938,true,1GKMCCE34AR314474,Male
Doro Oo,4 Dryden Junction,-8.6885822,118.7678981,true,WAULVBFR9CA745308,Male
Solo,71825 Morrow Junction,14.0158972,121.3404269,true,WBAVC93557K755262,Female
Abadou,9347 Cambridge Road,31.4599979,-7.2858562,false,WBAYA6C50DC371445,Male
Barra do Garças,986 Hoepker Plaza,-15.8916202,-52.2618826,true,1GKS1EEF1ER400107,Female
Karangampel,35 Atwood Point,-6.4713068,108.4572788,true,3GYFNGE3XCS595437,Female
Sabugal,94 Oak Way,40.3516608,-7.0895241,true,NM0KS7DN7AT345069,Male
Ribnica na Pohorju,84 Waxwing Center,46.5356403,15.2675136,false,WAUMF98P26A394977,Female
